t,kind,name,model_state,info
2.8,event,v_detect,H/S/O/F/Tb,предмет распознан камерой
2.8,cmd,b_go_table,mT/S/O/F/Tb,"к (-0.02, -0.09)"
10.352,event,b_arrive,T/S/O/F/Tb,ошибка позы 0.010 м
10.352,inject,shift,T/S/O/F/Tb,предмет смещён на 60 мм после подъезда
10.352,cmd,a_reach,T/R/O/F/Tb,над столом
12.88,event,a_reached,T/X/O/F/Tb,
12.88,cmd,g_close,T/X/C/F/Tb,
14.368,event,g_miss,T/X/O/F/Tb,зазор пальцев 0.0000: промах
14.368,cmd,a_stow,T/W/O/F/Tb,
16.896,event,a_stowed,T/S/O/F/Tb,
16.896,cmd,b_go_table,mT/S/O/F/Tb,"к (-0.02, -0.03)"
18.368,event,b_arrive,T/S/O/F/Tb,ошибка позы 0.010 м
18.368,cmd,a_reach,T/R/O/F/Tb,над столом
20.896,event,a_reached,T/X/O/F/Tb,
20.896,cmd,g_close,T/X/C/F/Tb,
22.384,event,g_ok,T/X/D/F/Hn,зазор пальцев 0.0008
22.384,cmd,a_stow,T/W/D/F/Hn,с предметом
24.896,event,a_stowed,T/S/D/F/Hn,
24.896,cmd,b_go_box,mB/S/D/F/Hn,"к (-0.60, -1.40)"
31.424,event,b_arrive,B/S/D/F/Hn,ошибка позы 0.010 м
31.424,cmd,a_reach,B/R/D/F/Hn,над контейнером
33.472,event,a_reached,B/X/D/F/Hn,
33.472,cmd,g_put,B/X/O/F/Bx,
34.464,cmd,a_stow,B/W/O/F/Bx,
36.72,event,a_stowed,B/S/O/F/Bx,
36.72,cmd,b_go_home,mH/S/O/F/Bx,"к (-1.80, 0.00)"
44.448,event,b_arrive,H/S/O/F/Bx,ошибка позы 0.010 м
